"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12","1u","datasheets/CL21A105KBCLNNC.pdf","000_LOCAL:C_0805","12","","CL21A105KBCLNNC"
"D1","BAT54CDW","datasheets/BAT54CDW.pdf","000_LOCAL:TSSOP-6-symmetric","1","","BAT54CDW-7-F"
"J1","SMS-138-01-G-S","datasheets/sms_th.pdf","000_LOCAL:SMS-138-01-x-x_pcb_edge","1","","SMS-138-01-G-S"
"R1,R2,R3,R4,R5","200k","~","000_LOCAL:R_0805","5","","RMCF0805FT200K"
"SW1","CUS-14TB","datasheets/cus.pdf","000_LOCAL:CUS-14TB pth","1","","CUS-14TB"
"U1","MRxA08xxYSxxx","datasheets/MR2A08A.pdf","000_LOCAL:TSOP-II-44_10.16x18.41mm_P0.8mm","1","","MR2A08ACYS35"
"U2","MIC5317-3.3YD5","datasheets/MIC5317.pdf","000_LOCAL:TSOT-23-5","1","","MIC5317-3.3YD5"
"U3,U4,U5,U6","4245","datasheets/LVC4245.pdf","000_LOCAL:TSSOP-24_4.4x7.8mm_P0.65mm","4","","74LVC4245APW,118"
